No.,Time,Source,Destination,Protocol,Length,Info,Label
5543,72.29362035,10.244.0.14,10.244.0.9,TCP,83,"8000  >  42844 [PSH, ACK] Seq=345 Ack=909 Win=64128 Len=17 TSval=3494344221 TSecr=3914308363",0
5544,72.34508129,10.244.0.9,10.244.0.14,TCP,66,42844  >  8000 [ACK] Seq=909 Ack=362 Win=64640 Len=0 TSval=3914308532 TSecr=3494344221,0
5545,72.581953,10.10.4.1,10.10.4.101,PFCP,713,PFCP Session Establishment Response,0
5546,72.58779316,10.244.0.17,10.244.0.11,TCP,66,"8000  >  57214 [FIN, ACK] Seq=415 Ack=403 Win=64128 Len=0 TSval=4106067383 TSecr=1287682244",0
5547,72.59149435,10.244.0.11,10.244.0.17,TCP,66,"57214  >  8000 [FIN, ACK] Seq=403 Ack=416 Win=64640 Len=0 TSval=1287683249 TSecr=4106067383",0
5548,72.59155056,10.244.0.17,10.244.0.11,TCP,66,8000  >  57214 [ACK] Seq=416 Ack=404 Win=64128 Len=0 TSval=4106067387 TSecr=1287683249,0
5549,72.61359685,10.244.0.11,10.244.0.19,TCP,66,"8000  >  34504 [FIN, ACK] Seq=1406 Ack=699 Win=64128 Len=0 TSval=2996844958 TSecr=234873454",0
5550,72.66070304,10.244.0.19,10.244.0.11,TCP,66,34504  >  8000 [ACK] Seq=699 Ack=1407 Win=64256 Len=0 TSval=234874504 TSecr=2996844958,0
5551,72.68145404,10.244.0.19,10.244.0.11,TCP,66,"34504  >  8000 [FIN, ACK] Seq=699 Ack=1407 Win=64256 Len=0 TSval=234874525 TSecr=2996844958",0
5552,72.68149738,10.244.0.11,10.244.0.19,TCP,66,8000  >  34504 [ACK] Seq=1407 Ack=700 Win=64128 Len=0 TSval=2996845026 TSecr=234874525,0
5553,72.69478101,10.244.0.10,10.244.0.19,TCP,66,"8000  >  52228 [FIN, ACK] Seq=79 Ack=74 Win=64256 Len=0 TSval=1260204725 TSecr=1741425739",0
